Nahuatl|Spanish|Verse
¡Sanoyej xhuelis tiquixitasquej on irriquezas Dios, on itlamatquilis niman icajsicamatilis! Xacaj hueli quiteijlia tlica Dios quichihua itlaj, nion xacaj cajsicamati quen ijqui quichihua on itequiu.|¡Oh la profundidad de las riquezas, y de la sabiduría y del conocimiento de Dios! ¡Cuán incomprensibles son sus juicios e inescrutables sus caminos|b.ROM.11.33
'Nemechijlia ocse ejemplo ica yejhua on tonajli ijcuac nihuajlas. Ijcuac nihuajlas nicchihuas quen oquichiu on tlacatl yejhuan, ijcuac ye yas ipan ocse país, oquinnotz on itequitcahuan niman oquinmactilij itomin para ma ica tequitican, ijcuac xac yes.|Porque el reino de los cielos será semejante a un hombre que al emprender un viaje largo, llamó a sus siervos y les entregó sus bienes|b.MAT.25.14
Temechijliaj, tej, on tlen otiquitaquej niman oticaquej, para nemejhuamej san secan tohuan xnemican, ijcon quen tejhuamej tinemij san secan ihuan Dios toTajtzin niman ihuan iConetzin Jesucristo.|lo que hemos visto y oído lo anunciamos también a vosotros, para que vosotros también tengáis comunión con nosotros. Y nuestra comunión es con el Padre y con su Hijo Jesucristo|b.1JO.1.3
Pero Pedro ocontilan, niman oquijlij: ―Xmotelquetz, pampa nejhua no san nitlalticpactlacatl quen tejhua.|Pero Pedro le levantó diciendo: --¡Levántate! Yo mismo también soy hombre|b.ACT.10.26
Pero Salomón yejhua oquichijchihuilij ihueyi tiopan Dios.|Pero Salomón le edificó casa|b.ACT.7.47
Ican tetlajsojtlalistli, ijcuac xe tzimpehua in tlalticpactli, Dios oquitlalij iyojlo para techselis quen iconehuan itechcopa Jesucristo ijcon quen oquinec.|En amor nos predestinó por medio de Jesucristo para adopción como hijos suyos, según el beneplácito de su voluntad|b.EPH.1.5
Jesús oquimijlij: ―On xcuajcualtin tlacamej, yejhuan ixcoejehuaj Dios quen se sihuatl ixcoejehua ihuehuentzin, quinequij quitasquej se tlamajhuisojli milagrosa. Pero xniquintitis ocse más, yej san yejhua on tlen oquichiu on tiotlajtojquetl Jonás.|Él respondió y les dijo: --Una generación malvada y adúltera demanda señal, pero no le será dada ninguna señal, sino la señal del profeta Jonás|b.MAT.12.39
On tlacamej yejhuan tejhua otinechinmacac intzajlan on tlalticpactlacamej oniquinmachiltij aquin tejhua. Moyaxcahuan catcaj, niman tejhua otinechinmacac, niman yoquitlacamatquej on tlen otiquijtoj.|"""He manifestado tu nombre a los hombres que del mundo me diste. Tuyos eran, y me los diste; y han guardado tu palabra"|b.JOH.17.6
Quemaj nochimej oyolchicajquej niman no otlacuajquej.|Y cuando todos recobraron mejor ánimo, comieron ellos también|b.ACT.27.36
Ma ca xquintencaqui on xchipahuac cuentos yejhuan xitlaj quijtosnequi, yej xmomachti sanoyej para cuajli timohuicas itechica Dios ican yolchipahualistli.|Desecha las fábulas profanas y de viejas, y ejercítate para la piedad|b.1TI.4.7
Huajmostla ijcuac otlanes, Jesús oquis ipan on hueyican niman oyaj campa tlapatlaco. Niman on tlacamej quitejtemohuayaj. Niman ijcuac oquinextijquej, quejecohuayaj quiteltisquej para ma ca ma nejcuani intech.|Siendo ya de día, salió y se fue a un lugar desierto, y las multitudes le buscaban. Acudieron a él y le detenían para que no se apartara de ellos|b.LUK.4.42
Jesús oquitac ome barco ne itenco on atl. On michajsiquej yehuaticatcaj niman quipajpacticatcaj inmatl.|y vio dos barcas que estaban a la orilla del lago. Los pescadores habían salido de ellas y estaban lavando sus redes|b.LUK.5.2
Sa no nemejhuamej xquixtlalocan tla cuajli para on sihuatl xnocuatlapachos ijcuac quichihuas oración itech Dios.|Juzgad por vosotros mismos: ¿Es apropiado que la mujer ore a Dios con la cabeza no cubierta|b.1CO.11.13
Quemaj on temachtijquej ica on tlanahuatijli niman on fariseos opeu ijquin quinemiliaj: “¿Aquinon in tlacatl? ¿Tlica cuijhuicaltijticaj Dios ican itlajtol? Xacaj hueli quitetlapojpolhuilia on tlajtlacojli, yej san Dios.”|Entonces los escribas y los fariseos comenzaron a razonar diciendo: --¿Quién es éste, que habla blasfemias? ¿Quién puede perdonar pecados, sino sólo Dios|b.LUK.5.21
Melahuac on tlaneltoctli yejhua hueyi riqueza, tla se paqui san ica on quechquitzin quinopialia.|Sin embargo, grande ganancia es la piedad con contentamiento|b.1TI.6.6
itechcopa ipoder on tlamajhuisoltin niman on milagros, niman itechcopa ipoder on Espíritu Santo. Ijcon, tej, nohuiyan desde Jerusalén hasta ne iregión Ilírico cuajli yonictemitij ica on cuajli tlajtojli yejhuan quitemaca temaquixtilistli itechcopa Cristo.|con poder de señales y prodigios, con el poder del Espíritu de Dios; de modo que desde Jerusalén hasta los alrededores del Ilírico lo he llenado todo con el evangelio de Cristo|b.ROM.15.19
Ijcuac in oquichiu, onotemacac sa no yejhua ne ipan on cojnepanojli para oquipopoloj on ley yejhuan quipiaya tlanahuatiltin niman ocsequi iasica. Oquichiu para san secan quinsentlalia on hebreos niman yejhuan xhebreos, niman ijqui oquinmacac yolsehuilistli.|y abolió la ley de los mandamientos formulados en ordenanzas, para crear en sí mismo de los dos hombres un solo hombre nuevo, haciendo así la paz|b.EPH.2.15
Yejhua in no nochihuas ipan on tonajli ijcuac Dios itechcopa Jesucristo quintlajtlacolmacas on tlen iyanticaj ipan inyojlo on tlacamej. Nochi yejhua in nochihuas quen on cuajli tlajtojli ica temaquixtilistli quijtohua yejhuan nicteijlia.|en el día en que, conforme a mi evangelio, Dios juzgue los secretos de los hombres, por medio de Cristo Jesús|b.ROM.2.16
Ijcuacon Jesús oquimijlij: ―On yejhuan quitoca on cuajli xinachtli sa no nejhua yejhuan oninochiu Tlacatl,|Y respondiendo él dijo: --El que siembra la buena semilla es el Hijo del Hombre|b.MAT.13.37
Ijcon, tej, ticmatij ica xohuel ocalaquej pampa xoquineltocaquej Dios.|Y vemos que ellos no pudieron entrar debido a su incredulidad|b.HEB.3.19
Yejhuamej oquijlijquej: ―Tlacatis ipan on pueblo itoca Belén yejhuan oncaj ne Judea, pampa on tiotlajtojquetl ijquin oquijcuiloj:|Ellos le dijeron: --En Belén de Judea, porque así está escrito por el profeta|b.MAT.2.5
Aman nemechijlis ica on tocniu Apolos. Sanoyej onicyoleu para ihuan on ocsequimej tocnihuan ma mechnotzati, niman xoquinec oyaj ipan in tonaltin. Pero yas ijcuac huelis ocsejpa.|Acerca del hermano Apolos, le animé mucho a que fuera a vosotros con los hermanos; pero de ninguna manera había voluntad para ir ahora. Sin embargo, irá cuando tenga oportunidad|b.1CO.16.12
Pero Jesús oquijlij: ―Achtoj ma niquimpalehui on nochantlacaj hebreos. Tejhua xtihebrea. Tla nimitzpalehuis, yejhua in sa no ijqui quen nicualtisquia se chichi intlacual on iconehuan Dios.|Pero Jesús le dijo: --Deja primero que se sacien los hijos, porque no es bueno tomar el pan de los hijos y echarlo a los perritos|b.MAR.7.27
Yejhua quen se tlanamactli, pampa ica oncaj quintlacamati on tlacamej yejhuan quiscaltiaj. Niman quejehuiliayaj iherencia chica yejhua noscaltia para quimacasquej hasta ipan on tonajli ijcuac itataj oquijtoj cuajli para quiselis.|más bien, está bajo guardianes y mayordomos hasta el tiempo señalado por su padre|b.GAL.4.2
Pero José ihuan María xnemiyaj quen on yejhuan yononamictijquej masqui ihuan nemiya, yej hasta ijcuac otlacat on conetzintli. Niman ijcuac otlacat on conetzintli, José oquitocayotij Jesús.|Pero no la conoció hasta que ella dio a luz un hijo, y llamó su nombre Jesús|b.MAT.1.25
Yonemechtlajcuilhuij ican quesqui tlajtojli ipan yejhua in tlajcuilolamatl yejhuan tocniu Silvano oquijcuiloj quen nejhua oniquijlij. Nejhua cuajli nicmati ica yejhua cuajli iyojlo. Onemechtlajcuilhuij para onemechtlacanonotz niman onemechpantlantilij ica iteicnelilis Dios melahuac. Xmelajcanemican ipan on teicnelilistli.|Os he escrito brevemente por medio de Silas, a quien considero un hermano fiel, para exhortar y testificar que ésta es la verdadera gracia de Dios. Estad firmes en ella|b.1PE.5.12
On yejhuan tetlanquej yesquej niman ican nochi innemilis nechtlacamatisquej, niquinmacas on tequihuajyotl para quinmandarosquej nochi países|Al que venza y guarde mis obras hasta el fin, yo le daré autoridad sobre las naciones|b.REV.2.26
yej san ma quitequitiltican incac niman insentetlaquen.|pero que calzasen sandalias y que no vistiesen dos túnicas|b.MAR.6.9
Nimitztlajcuilhuia in tlajcuilolamatl, Timoteo, notlajsojcaconetzin itech Jesucristo. Ma Dios toTajtzin niman Cristo Jesús toTeco ma mitzmacacan intlatiochihualis niman inteicnelilis niman inyolsehuilis.|a Timoteo, verdadero hijo en la fe: Gracia, misericordia y paz, de parte de Dios Padre y de Cristo Jesús nuestro Señor|b.1TI.1.2
Chica quitlatiaya on xochicopajli, nochi on tlacamej quichijticatcaj oración ne quiahuac ixpan on hueyi tiopan.|Toda la multitud del pueblo estaba fuera, orando a la hora del incienso|b.LUK.1.10
Ipan noyojlo nicuelita itlanahuatil Dios.|Porque según el hombre interior, me deleito en la ley de Dios|b.ROM.7.22
Pero on nomachtijquej xcajsicamatiyaj tlinon yejhua quimijliaya, pampa xe quincahuiliayaj quimatisquej. Niman yejhuamej nomojtiayaj quitlajtoltisquej Jesús ma quinmelajcaijli on tlen quimijlijticatca.|Pero ellos no entendían este dicho, pues les estaba encubierto para que no lo percibieran. Y temían preguntarle acerca de este dicho|b.LUK.9.45
Nejhua niachtoj niman nisa ica nochi de nochi on tlajtlamach. Nejhua nitlatzimpehuajli niman sa nitlatlajtlamijli no ijqui quen on abecedario pehua ican on letra A niman ontlami ican on letra Z.|Yo soy el Alfa y la Omega, el primero y el último, el principio y el fin.|b.REV.22.13
Chica panohuaya nochihuiyan, oquinyolchicajtiaj on tocnihuan ican itlajtol. Quemaj oajsic ne Grecia|Recorrió aquellas regiones, exhortándoles con abundancia de palabras, y luego llegó a Grecia|b.ACT.20.2
Nejhua, Pedro, niiapóstol Jesucristo. Nemechtlajcuilhuiya nemejhuamej yejhuan xnenchantij nemochan, yej nenchajchayajtinemij imanyan inyehualican Ponto, Galacia, Capadocia, Asia niman Bitinia.|Pedro, apóstol de Jesucristo; a los expatriados de la dispersión en Ponto, Galacia, Capadocia, Asia y Bitinia|b.1PE.1.1
Ijcon onochiu para aman intechcopa on tlaneltocaquej, nochimej on yejhuan huejhueyixtoquej niman on yejhuan quipiaj tequihuajyotl ne ilhuicac, ma quixmatican itlamatquilis Dios ipan nochi tlen oncaj.|Todo esto es para que ahora sea dada a conocer, por medio de la iglesia, la multiforme sabiduría de Dios a los principados y las autoridades en los lugares celestiales|b.EPH.3.10
Ijcon ma ticchihuacan pampa nion Cristo sa no yejhua onopactij. In Yectlajcuilojli quijtohua on tlen Cristo oquijlij Dios: “Nopan ohuetz intlahuel on yejhuan mitztlahuelitayaj.”|Porque Cristo no se agradó a sí mismo; más bien, como está escrito: Las afrentas de los que te afrentaron, cayeron sobre mí|b.ROM.15.3
Yejhua ica on nomachtijquej oyajquej, niman oquichijquej quen Jesús oquinnahuatij.|Los discípulos fueron e hicieron como Jesús les mandó|b.MAT.21.6
Nejhua nipan yejhuan ne ilhuicac ohualeu. Yejhua in pan xijqui quen yejhua on maná yejhuan ocuajquej nemoachtojtajhuan niman omiquej. Yejhuan quicuas in pan yejhuan nictenehua, nemis para nochipa.|Éste es el pan que descendió del cielo. No como los padres que comieron y murieron, el que come de este pan vivirá para siempre|b.JOH.6.58
Ipan sa no yejhua on camactli quisa yectenehualistli niman tlahuijhuicaltilistli. Notlajsojcaicnihuan, xcuajli para ijcon ticchihuasquej.|De la misma boca sale bendición y maldición. No puede ser, hermanos míos, que estas cosas sean así|b.JAM.3.10
Satanás, tej, quinmandarohua on xcuajcualtin espíritus. Niman tla sa no yejhua quitequixtilia on xcuajcualtin espíritus, ¿quen ijqui, tej, huelis san secan nemisquej?|Y si Satanás echa fuera a Satanás, contra sí mismo está dividido. ¿Cómo, pues, permanecerá en pie su reino|b.MAT.12.26
Amantzin on xtetlacamatilistli ye tequiti san ichtaca. Pero on yejhuan aman quiteltijticaj on xtetlacamatilistli san polihui quejcuanisquej iyecapan.|Porque ya está obrando el misterio de la iniquidad; solamente espera hasta que sea quitado de en medio el que ahora lo detiene|b.2TH.2.7
¿Tlen xtejhua on egipcio aquin oquipehualtij on ica onajcomanaloc ye huejcajticatzin niman oquinhuicac on nahui mil tlacatl temictianimej ne campa tlacauyan?|Entonces, ¿no eres tú aquel egipcio que provocó una sedición antes de estos días, y sacó al desierto a cuatro mil hombres de los asesinos|b.ACT.21.38
Niman miyequej oquisojquej intlaquen ipan ojtli, niman sequimej oquitejtequej inxojyo on cojtin|Muchos tendieron sus mantos por el camino, y otros cortaban ramas de los árboles|b.MAR.11.8
Nochimej tlajtlajtohuaj ica Demetrio cuajli tlacatl. Niman nochi tlen quichihua cuajli nohuica ihuan on temachtijli yejhuan melahuac. Niman nejhua no nicteixpantilia de yejhua in ica melahuac, niman nemejhuamej nenquimatztoquej ica niquijtohua tlen melahuac.|Se ha dado buen testimonio acerca de Demetrio de parte de todos y aun por la misma verdad. También nosotros damos testimonio, y sabéis que nuestro testimonio es veraz|b.3JO.1.12
Ijcuac Jesús otlan quinnajnahuatia on majtlactli huan ome inomachtijcahuan, onejcuanij ompa, niman oyaj para otemachtito niman otenojnotzato ne ipan ipueblos on región.|Aconteció que, cuando Jesús acabó de dar instrucciones a sus doce discípulos, se fue de allí a enseñar y a predicar en las ciudades de ellos|b.MAT.11.1
Ijcuacon Simón Pedro oquijlij: ―Tejhua tiCristo yejhuan Dios oquitlapejpenij para tlamandaros. Tejhua tiiConetzin Dios yejhuan melahuac nemi.|Respondió Simón Pedro y dijo: --¡Tú eres el Cristo, el Hijo del Dios viviente|b.MAT.16.16
Pero yejhuamej ocsejpa más chicahuac otzajtziquej: ―¡Xmajmasohualti! ¡Xmajmasohualti!|Pero ellos volvieron a dar voces, diciendo: --¡Crucifícale! ¡Crucifícale|b.LUK.23.21
Ijcuac yejhua onechijlij yejhua in, oninotlacuenquetz icxitlan on ilhuicactequitquetl para nicmahuistilis, pero yejhua onechijlij: ―Ma ca ijcon xchihua. Nejhua, tej, san niitequichihuilijcau Dios, sa no ijqui quen tejhua niman mocnihuan yejhuan melajcanemij ipan on tlen melahuac yejhuan Jesús oquipanextij. Tejhua san Dios xmahuistili. Yejhua on, tej, tlen melahuac yejhuan Jesús oquipanextij, yejhua quintlamachilistia on tiotlajtojquej.|"Yo me postré ante sus pies para adorarle, pero él me dijo: ""¡Mira, no lo hagas! Yo soy consiervo tuyo y de tus hermanos que tienen el testimonio de Jesús. ¡Adora a Dios! Pues el testimonio de Jesús es el espíritu de la profecía."|b.REV.19.10
Nochipa nicmaca tlaxtlahuijli Dios ipampa on hueyi tlatiochihualistli yejhuan omechmacac itechcopa Cristo Jesús.|Gracias doy a mi Dios siempre en cuanto a vosotros por la gracia de Dios que os fue concedida en Cristo Jesús|b.1CO.1.4
Sa no ijqui quen se tlacatl oquitocac on iteyo on itoca mostaza. On mostaza quipia más pitentzin iteyo xquen nochi quech xinachtli yejhuan oncaj nican ipan in tlalticpactli.|Es como un grano de mostaza que, cuando es sembrado en la tierra, es la más pequeña de todas las semillas de la tierra|b.MAR.4.31
Noconetzitzihuan, ma ca xmocahuilican yacaj mechcajcayahua. On yejhuan quichihua tlen cuajli, yejhua cuajli tlacatl ijcon quen Cristo cuajli.|Hijitos, nadie os engañe. El que practica justicia es justo, como él es justo|b.1JO.3.7
Ompa, tej, xhuiyan pampa onapismic, niman nemejhuamej xonennechtlacualtijquej. Onamic, niman xonennechatlitijquej.|Porque tuve hambre, y no me disteis de comer; tuve sed, y no me disteis de beber|b.MAT.25.42
Pero Jesús oquijlij: ―Sihuatl, ¿tlica tinechijlia nejhua? Hasta aman xe ajsi on tonajli para nicchihuas milagros.|Jesús le dijo: --¿Qué tiene que ver eso conmigo y contigo, mujer? Todavía no ha llegado mi hora|b.JOH.2.4
Sequimej yejhuan ompa nemiyaj ocacquej, niman ijquin oquijtojquej: ―Yejhua in tlacatl quinotza on tiotlajtojquetl Elías.|Cuando algunos de los que estaban allí le oyeron, decían: --Este hombre llama a Elías|b.MAT.27.47
Quemaj José otlatitlan ma cuajhuiquilican itaj Jacob ne Egipto niman nochi ichanchanejcahuan yejhuan canaj yepoajli huan majtlactli ipan macuijli tlacamej catcaj.|Y José envió e hizo venir a su padre Jacob y a toda su familia, que eran 75 personas|b.ACT.7.14
Campa oncaj on tlanahuatijli niman xquitlacamatij, no oncaj castigo. Pero campa xoncaj on tlanahuatijli, no xoncaj on xtetlacamatilistli.|Porque la ley produce ira; pero donde no hay ley, tampoco hay transgresión|b.ROM.4.15
On hebreos quinequij quitasquej milagros, niman on griegos quitejtemohuaj tlamatquilistli.|Porque los judíos piden señales, y los griegos buscan sabiduría|b.1CO.1.22
No ijqui David quijtohua ica on tlacatl quipia hueyi tlatiochihualistli yejhuan Dios quiselia quen yolmelajqui masqui xoquichiu tlajtlamach tlen cuajli.|De igual manera, David también proclama la felicidad del hombre a quien Dios confiere justicia sin obras|b.ROM.4.6
Sanquen Jesucristo yejhuan chipahuac niman on yejhuan quinchipahua san se Tajtli quipiaj. Yejhua ica yejhua xpinahua para quintocayotia icnihuan.|Pues tanto el que santifica como los que son santificados, todos provienen de uno. Por esta razón, él no se avergüenza de llamarlos hermanos|b.HEB.2.11
Niman ticchihuaj canica para ticchihuasquej quen quitocarohua xsan ixpan toTeco, yej no imixpan on tlacamej.|Porque procuramos que las cosas sean honestas, no sólo delante del Señor, sino también delante de los hombres|b.2CO.8.21
xtlacaita motaj niman monan, niman xquintlajsojtla ocsequimej quen tejhua timotlajsojtla.|honra a tu padre y a tu madre, y amarás a tu prójimo como a ti mismo|b.MAT.19.19
'Pero on toachtojtajhuan xoquinequej oquitlacamatquej, yej neca ocomapejquej, niman ocsejpa quinequiyaj para nocuepasquej ne Egipto.|Nuestros padres no quisieron serle obedientes; más bien, le rechazaron y en sus corazones se volvieron atrás a Egipto|b.ACT.7.39
Yejhuamej on yejhuan ricos quitemacaj san yejhua on tlen yoquinsobraroj. Pero in sihuatl, masqui mayanqui, oquitemacac nochi hasta on tlen ica nopanoltisquia.|Porque todos han echado de su abundancia; pero ésta, de su pobreza, echó todo lo que tenía, todo su sustento|b.MAR.12.44
Nochimej otlacuajquej niman cuajli oixhuiquej. Quemaj on nomachtijquej ica on tlatlajcotzitzin tlen onocau oquitemiltijquej majtlactli huan ome chiquiutin.|Todos comieron y se saciaron, y se recogieron doce canastas llenas de lo que sobró de los pedazos|b.MAT.14.20
Pero tla nenquipiaj nexicolistli ipan nemoyojlo noso nochipa nenquinemiliaj tlen cuajli san para nemejhuamej, tla ijcon ma ca xmohueyimatican yejhua ica on nemotlamatquilis. Ma ca xnemilican ica nenquipiaj tlamatquilistli, pampa xnejli nenquipiaj.|Pero si en vuestros corazones tenéis amargos celos y contiendas, no os jactéis ni mintáis contra la verdad|b.JAM.3.14
Nochimej yejhuan achtoj de nejhua ohualajquej tlachtequej, pero on borregos xoquitencaquej.|Todos los que vinieron antes de mí eran ladrones y asaltantes, pero las ovejas no les oyeron|b.JOH.10.8
Dios toTajtzin omechtlapejpenijca para iconehuan pampa oquimat ica ipan in tonaltin nenquineltocasquej Jesucristo. Itechcopa on Espíritu Santo, Dios omechchipahuilij nemotlajtlacol para nenquitlacamatisquej Jesucristo niman para Cristo ma mechchipahua ican iyesyotzin. Xpiacan, tej, miyec tlatiochihualistli niman yolsehuilistli.|elegidos conforme al previo conocimiento de Dios Padre por la santificación del Espíritu, para obedecer a Jesucristo y ser rociados con su sangre: Gracia y paz os sean multiplicadas|b.1PE.1.2
Yejhuamej xcuajli quitlacamatij Cristo, on yejhuan tlayecanquetl campa tejhuamej titochihuaj icuerpo. Yejhua techtlacualtijticaj niman techsentlalijticaj san secan quen se tlalnacayotl yejhuan cuajli sajsalijticaj nochihuiyan. Niman Dios no techiscaltia.|y no aferrándose a la cabeza, de la cual todo el cuerpo, nutrido y unido por coyunturas y ligamentos, crece con el crecimiento que da Dios|b.COL.2.19
Masqui nicpia miyec más tlen nicnequi para nenquimatisquej, xnicnequi nemechijcuilohuilis ipan in tlajcuilolamatl. Yej niccha nias nemechontas niman nemechnojnotzas para ijcon tinochimej ajsis topaquilis.|Aunque tengo muchas cosas que escribiros, no he querido comunicarlas por medio de papel y tinta. Más bien, espero estar con vosotros y hablar cara a cara, para que nuestro gozo sea completo|b.2JO.1.12
Yejhua ica ipampa in tlajtlamach, huajlau on itlahuel Dios intech on yejhuan xquitlacamatij.|A causa de estas cosas viene la ira de Dios sobre los rebeldes|b.COL.3.6
Pero Jesús oquijlij: ―On yejhuan pehua yau nohuan niman noteltia, nemi quen se tlacatl yejhuan pehua tequiti ica on tepostlaxoponajli, niman quemaj icuitlapan on tlacha. On yejhuan ijcon quichihua xitlaj ica hueli tlapalehuiya ne campa Dios tlamandarohua.|Pero Jesús le dijo: --Ninguno que ha puesto su mano en el arado y sigue mirando atrás, es apto para el reino de Dios|b.LUK.9.62
Nicmatzticaj quen ijqui ninemi ipan mayantli, niman nicmatzticaj quen ijqui nicpia miyec tlaitlaj. Nicmatzticaj quen ijqui niteixnamiqui san quemanon, tla ijcuac nejhua nixhuiticaj noso ijcuac napismiqui, tla ijcuac nicpia miyec noso tla ijcuac nechpolojticaj.|Sé vivir en la pobreza, y sé vivir en la abundancia. En todo lugar y en todas las circunstancias, he aprendido el secreto de hacer frente tanto a la hartura como al hambre, tanto a la abundancia como a la necesidad|b.PHI.4.12
Saquin ijcuac yoyajquej icnihuan, yejhua no oyaj ne ipan on ilhuitl. Pero xoyaj teixpan, yej san ichtaca.|Pero cuando sus hermanos habían subido a la fiesta, entonces él también subió, no abiertamente sino en secreto|b.JOH.7.10
Yejhuamej oquijlijquej: ―Sequimej quijtohuaj ica tejhua tiJuan on tlacuatequijquetl, ocsequimej qujtohuaj ica tejhua tiElías, niman no sequimej quijtohuaj ica tise on ye huejcahui tiotlajtojquej yejhuan yoyoliu niman yonoquetzteu ipan itlalcon.|Respondiendo ellos dijeron: --Unos, que Juan el Bautista; otros, que Elías; y otros, que alguno de los antiguos profetas ha resucitado|b.LUK.9.19
Quinmachtiaya on cuajli tlajtojli ican ejemplos hasta campa xoc hueliyaj cajsicamatiyaj.|Con muchas parábolas semejantes les hablaba la palabra, conforme a lo que podían oír|b.MAR.4.33
Quemaj on omemej tlaneltocaquej no oquitetlajtlajtohuilijquej tlinon impan onochiu ne ipan ojtli, niman quen ijqui oquimatquej ica Jesús oquinnotz ijcuac oquitlapan on pan.|Entonces ellos contaron las cosas que les habían acontecido en el camino, y cómo se había dado a conocer a ellos al partir el pan|b.LUK.24.35
Nican nemij tlacamej yejhuan chanejquej ipan on miyecan. Sequimej chantij ne Partia, sequimej ne Media, sequimej ne Elam, sequimej ne Mesopotamia, sequimej ne Judea, sequimej ne Capadocia, sequimej ne Ponto niman sequimej ne Asia.|Partos, medos, elamitas; habitantes de Mesopotamia, de Judea y de Capadocia, del Ponto y de Asia|b.ACT.2.9
pampa on tocnihuan yejhuan chanejquej ne ipan on inregión Macedonia niman Acaya ican pactli oquinemilijquej para oquisentlalijquej se ofrenda, niman quintitlaniliaj on tocnihuan mayanquej yejhuan nemij ne Jerusalén.|Porque Macedonia y Acaya tuvieron a bien hacer una ofrenda para los pobres de entre los santos que están en Jerusalén|b.ROM.15.26
Xmajmanacan; xmoyolcococan, niman xchocacan. Xmoteltican ma ca sa xhuetzcacan, yej ma quisa nemixayo. Xmoteltican ma ca sa xpaquican, yej pehua xmajmanacan.|Afligíos, lamentad y llorad. Vuestra risa se convierta en llanto, y vuestro gozo en tristeza|b.JAM.4.9
